rec,UWA Arrest ID,Arresting officer,Date,Station,Outpost name,Location name,Detection,Crime type,Offence Loc.
246,,Rusoke David,02/10-2012,,,Nyakandagazi,,Illegal entry,
247,,Otim Richard,30/09-2012,,,Kanyangeya,,Illegal entry,
248,,Tumwine Albert,09/10-2012,,,Kikonzo,,Possession of wildlife specimen,
249,,Tumwine Albert,09/10-2012,,,Kikonzo,,Possession of wildlife specimen,
250,,Tumwine Albert,09/10-2012,,,Kikonzo,,Possession of wildlife specimen,
251,,Kiizi James,13/10-2012,,,Katunguru,,Illegal entry,
252,,Kamara Koleb,22/10-2012,,,Kasenyi,,Illegal entry,
253,,Ali Bin Said,20/10-2012,,,Busunga,,illegal entry,
254,,Ali Bin Said,20/10-2012,,,Busunga,,illegal entry,
255,,Ebeno Patrick,24/10-2012,,,Bugem,,Possession of illegal devices,
256,,Kiiza James,29/10-2012,,,Katunguru park Headquarters,,illegal entry,
257,,Mahesi Kiiza John,23/10-2012,,,Bwanika,,Illegal entry,
258,,Mahesi Kiiza John,30/10-2012,,,Munkunyu s/c,,Possession of illegal devices,
259,,"Mahesi kiiza ,Kiiza james",04/11-2012,,,Karubugo,,illegal entry,
260,,"Mahesi Kiiza,Kiiza James",04/11-2012,,,Karubugu,,illega entry,
261,,"Mahesi Kiiza,Kiiza James",04/11-2012,,,Karubugu,,illegal entry,
262,,"Mahesi Kiiza,Kiiza James",04/11-2012,,,Karubugu,,Ilegal entry,
263,,"Kiiza Mahesi,Kiiza James",04/11-2012,,,Karubugu,,illegal entry,
264,,"Kiiza Mahesi,Kiiza James",04/11-2012,,,Karubugu,,Illegal entry,
265,,,04/11-2012,,,Karubugu,,Illegal entry,
266,,"Kiiza Mahesi,Kiiza James",04/11-2012,,,Karubugu,,Illegal entry,
267,,Mahesi Kiiza,04/11-2012,,,Karubugu,,Illegal entry,
268,,Kiiza James,04/11-2012,,,Karubugu,,Illegal entry,
269,,Kiiza James,04/11-2012,,,Karubugu,,ilolegal entry,
270,,Kiiza James,04/11-2012,,,Karubugu,,Illegal entry,
271,,Petience Hillary,05/11-2012,,,Karusandara,,Illegal entry,
272,,Patience Hillary,05/11-2012,,,Karusandara,,Illegal entry,
273,,AliBin Said,04/11-2012,,,Busunga,,illegal entry,
274,,"Odongo Santo,Anguzu .C.",29/04-2012,,,Nyamugasani,,illegal entry,
275,,Odongo santo & Anguzu,29/04-2012,,,Nyamugasani,,illegal entry,
276,,Kiiza James,28/04-2012,,,Rwebinyoni,,illegal entry,
277,,,29/04-2012,,,Nyamugasani,,Illegal entry into aprotected Area,
278,,,28/04-2012,,,Katwe,,Illegal entry into the protected area,
279,,Bainomugisha John Fisher,21/04-2012,,,Kahendero,,Negligently permitting domestic into awild life protected area,
280,,Thembo James & Bwambale Fana,18/04-2012,,,Nyamugasani,,Negigently permitting domestic animals into awildlife protected ,
281,,Africa Moses & Kisembo jimmy,19/04-2012,,,Kyambura,,illegal entry,
282,,Kuklu Kiriya & Tadeo,03/04-2012,,,Kikorongo-Lyamubuza,,Burning the park,
283,,Mugyerwa Benon,01/04-2012,,,Kahendero,,Negligently permitting domestic animals into awildlife protected,
284,,"Kiiza James,Angutoko Ben",01/04-2012,,,Kidodo,,Illegal entry,
285,,Kiiza James & Angutoko Ben,01/04-2012,,,Kidodo,,Illegal entry,
286,,Wafana David,01/06-2012,,,Kashaka,,illegal entry,
287,,Byamugisha George,01/06-2012,,,Kinera,,illegal entry,
288,,Wafana David,01/06-2012,,,Kinera,,illegal entry,
289,,Byamugisha George,01/07-2012,,,Kayanja,,Illegal entry,
290,,Byamumugisha George,01/07-2012,,,Kayanja,,Illegal entry,
291,,Byamugisha George,01/07-2012,,,Kayanja,,Illegal entry,
292,,"Africa, JIMMY,Kiiza,Mahesi",20/11-2012,,,kagarama,,possession of agun UG 8816-2000 WITH 116 ROUNDS,
293,,"Africa, Jimmy,Kiiza,Mahesi",20/11-2012,,,Kagarama,,possession of gun UG 8816-200 With 116,
294,,"Africa,Jimmy,Kiiza,Mahesi",20/11-2012,,,Kagarama,,"possession of agun UG 8816-200,WITH 116 ROUNDS",
295,,Mangi Jackson,20/11-2012,,,Golf,,possession of illegal devices,
296,,"Owenyo,Charles",21/11-2012,,,Kalinzo forest,,Illegal entry,
297,,"Owenyo,Charles",21/11-2012,,,Kalinzo forest,,illegal entry,
298,,"Owenyo,Charles",21/11-2012,,,Kalinzo forest,,illegal entry,
299,,Odongo Bonny,21/11-2012,,,Guruka,,Illegal entry,
310,,"Gerld,Byamugisha,Oto Betho",23/01-2012,,,Kikorongo,,illegal entry,
311,,"Gerald,George,Oto Betho",23/01-2012,,,Kikorongo,,Illegal entry,
312,,"Gerald,Byamugisha,Oto",23/01-2012,,,Kikorongo,,ilegal entry,
313,,"Olek,Kyathumba,",02/03-2012,,,Busunga,,illegal entry,
314,,kisembo jimmy,20/11-2012,,,Kyambura,,Possession of illegal devices,
315,,Obongo Bonny,25/11-2012,,,Ntungwe,,Illegal entry,
316,,"Kyathumba,Biryamutima",25/11-2012,,,Ntugwe,,Illegal entry,
317,,"Biryamutima,Kyathumba",25/11-2012,,,Ntungwe,,illegal entry,
318,,"Bwambale Alozious,Wanfna David",24/11-2012,,,Rwenshama,,Illegal entry,
319,,Odongo Bonny,25/11-2012,,,Guruka,,illegal entry,
320,,Odongo Bonny,21/11-2012,,,Guruka,,illegal entry,
321,,"Owenyo,Charles",21/11-2012,,,Kalinzo,,Illegal entry,
322,,"Owenyo,Charles",21/11-2012,,,Kalinzo,,Illegal entry,
323,,"Owenyo, Charles",21/11-2012,,,Kalinzo,,Illegal entry,
324,,Odongo Bonny,21/11-2012,,,Guruka,,Illegal entry,
325,,"Nuwagaba gordon ,Mujuni Jonas",02/03-2012,,,Busunga,,illegaL entry,
326,,"Kowa,Aggrey",02/06-2012,,,Rutokye,,illegal entry .,
327,,"Kowa,Aggrey",26/06-2012,,,Rutokye,,Illegal entry,
328,,"Kowa,Aggrey",02/06-2012,,,Rutokye,,Illegal entry,
329,,"Mujuni joas,Okiria Richard",05/06-2012,,,Kanyampara,,illegal entry,
330,,"Mahesi Kiiza,Awongo Sebi",01/05-2012,,,Lions Bay,,Illlegal devices,
331,,"Kulu,Tadeo,Johnfisher,Bob",02/05-2012,,,Kinyamaseke,,illegal entry,
332,,"Kulu,Tadeo,Johnfisher,Bob",02/05-2012,,,Kinyamaseke,,Illegal entry,
333,,"Kulu,Tadeo,Johnfisher,Bob",02/05-2012,,,Kinyamaseka,,illegal entry,
334,,"Kulu,Tadeo,Johnfisher,Bob",02/05-2012,,,Kinyamaseka,,illegal entry,
335,,"Kiiza james,Angutoko,Adiga",02/05-2012,,,Nyungu ya nyama,,illegal entry,
336,,"Kiiza james,Angutoko,Adiga",02/05-2012,,,Nyungu ya nyama,,ilegal entry,
337,,"Kiiza James,Angutoko,Adiga",02/05-2012,,,Nyungu ya nyama,,illegal entry,
338,,"Odongo Santo,Tiondi,Kiiza JAMES",02/05-2012,,,Kamulikwizi,,Illegal entry,
339,,Byamugisha George,19/02-2012,,,Kiyanga,,Ilegel entry,
340,,Ali Bin Said,19/02-2012,,,Kabukweri,,Possession of wildlife specimen,
341,,"Ali Bin Said,Mwanji Abubakari",20/02-2012,,,Muhokya,,,
342,,,20/02-2012,,,Muhokya,,,
343,,"Gerald,Tadeo",23/02-2012,,,Kasenyi road junction,,possession of wild life specimen,
344,,"Gerald,Tadeo",23/02-2012,,,Kasenyi road junction,,Possession of wildlife specimen,
345,,"Gerald,Tadeo",23/02-2012,,,Kasenyi road junction,,possession wildlife specimen,
346,,George,23/02-2012,,,Kabukweri,,illegal entry,
347,,"Kobwemi,Bob",26/02-2012,,,Karusandara,,illegal entry,
348,,Mujuni Jonas,03/04-2012,,,Knyampala,,illegal entry,
349,,Africa Moses,04/08-2012,,,Kahimbi,,possession of illegal devices,
350,,"Thembo,Fana",11/03-2012,,,Nyamugasani,,Illega entry,
351,,"Thembo,Fana",11/03-2012,,,Nyamigasani,,Illegal entry,
352,,Angutoko Ben,11/03-2012,,,Rwenjubu,,illegal entry,
353,,"Hakiri,Patience",14/03-2012,,,Kahendero,,illegal entry,
354,,Mahesi Kiiza,19/03-2012,,,Rutoto,,possession of illegal devices,
355,,Kiiza Mahesi,19/03-2012,,,Rutoto,,Possession of illegal devices,
356,,"Twinebusingye ,Komakech",22/03-2012,,,Rusese,,illegal entry,
357,,"Africa,George,Kiiza",22/03-2012,,,Katerera,,possession of illegal devics,
358,,"Africa,George,Kiiza",22/03-2012,,,Katerera,,possession of wildlife specimen,
359,,"Africa ,George,Kiiza",22/03-2012,,,Kizira,,Possession of illegal devices,
360,,"Africa,George,Kiiza",22/03-2012,,,Kizira,,Possession of wildlife protected species,
361,,"Africa ,George,Kiiza",22/03-2012,,,,,Possession of wildlife protected species,
362,,Otim Richard,27/03-2012,,,Nyamugasani,,Negligently permitting domestic animals into awildlife protected,
363,,"Thembo James,Fana",30/03-2012,,,Nyamugasani,,illegal entry,
364,,Jonas,31/03-2012,,,Kanyampara,,Negligently permitting domestic animals into awildlife protected,
365,,,02/04-2012,,,Katunguru,,possession of wldlife species,
366,,,02/04-2012,,,Katunguru,,possession of wildlife protected species,
367,,"Akampulire,Denis",04/05-2012,,,Maramagambo,,illegal entry,
368,,"Akampulire,Denis",04/05-2012,,,Maramagambo,,illegal entry,
369,,"Hakiri ,Patience",04/05-2012,,,Muhokya,,illegal entry,
370,,"Hakiri,Patience",08/04-2012,,,Kahendero,,Illegal entry,
371,,"Fana,Thembo",09/04-2012,,,Nyamugasani,,Illegal entry,
372,,Ambayo Stephen,12/04-2012,,,Nyina balongo,,Illegal entry,
373,,HaKIRI & PATIENCE,12/04-2012,,,Kidubule,,illegal entry,
374,,Hakiri  Patience,12/04-2012,,,Kidubula,,Illegal entry,
375,,Kiiza james,12/04-2012,,,Knyampara,,illegal entry,
376,,"Kiiza, Patience",12/04-2012,,,Rwebinyonyi,,Illegal entry,
377,,"Kiiza,Patience",12/04-2012,,,Rwebiny,,illegal entry,
378,,"Kiiza,Patience",12/04-2012,,,Rwebinyonyi,,Illegal entry,
379,,"Kiiza,Patience",12/04-2012,,,Rwebinyonyi,,Illegal entry,
380,,"Kiiza,Patience",12/04-2012,,,Rwebinyonyi,,Illegal entry,
381,,"Twinobusingye H,Ebeno Patrick",06/12-2012,,,Along river rubiriha,,Illegal entry into a protected area,
382,,"Katurebe Wilson,Oringi Colbert",06/12-2012,,,Kyondo,,Illegal entry,
383,,"Katurebe Wilson,Oringi Colbert",06/12-2012,,,Kyondo,,,
384,,Ebeju James,12/12-2012,,,Hubugomba,,Illegal entry,
385,,"Twine Everest,Otim John Moro",07/12-2012,,,Kyasanduka,,illegal entry,
386,,"Basusu solomon,Bwambale fana",13/12-2012,,,Karubugu,,Illegal entry,
387,,Ali Bin Said,17/12-2012,,,Busunga,,illegal entry,
388,,Ali Bin Said,17/12-2012,,,Busunga,,Illegal entry,
389,,Thembo James,21/12-2012,,,Kaleberyo,,Illegal entry,
390,,Thembo James,21/12-2012,,,Kaleberyo,,Illegal entry,
391,,Johnfisher,21/12-2012,,,Kanyangeya,,Illegal entry,
392,,"Kiiza James,Byamugisha George",27/12-2012,,,Kitabo,,ilegal entry,
393,,"Kiiza James,Byamugisha George",27/12-2012,,,Kinyateke,,Illega entry,
394,,"Kiza,Patience",12/12-2012,,,Rwebinyonyi,,Illegal entry,
395,,"Kiiza ,Patience",12/04-2012,,,Rwebinyonyi,,Illegal devices,
396,,"Kiiza,PATIENCE",12/04-2012,,,Rwebinyonyi,,Illegal entry,
397,,"Basusu,george,Otim",13/04-2012,,,Kaleberyo,,possession of hipo meat,
398,,"Basusu,George,Otime",13/04-2012,,,Kaleberyo,,illegal possession of hippo meat,
399,,"Basusu,George,Otim",13/04-2012,,,Kaleberyo,,Possession of hippo meat,
400,,"Basusu,George,Otim",13/04-2012,,,Kaleberyo,,possession of hippo meat,
401,,"Basus,George,Otim",13/04-2012,,,Kaleberyo,,possession of a hippo meat,
402,,"Basus,George,Otim",13/04-2012,,,Kaleberyo,,Possession a hippo meat,
403,,"Basus,George,Otim",13/04-2012,,,Kaleberyo,,Possession of a hippo meat,
404,,Hussein,14/04-2012,,,Kiyanga,,possession of devices,
405,,"Obedi,Denis",14/04-2012,,,Kiyanga,,Illegal entry,
406,,Johnfisher,14/04-2012,,,Busunga,,Illegal entry,
407,,"Thembo,Fana",18/04-2012,,,Nyamugasani,,Illegal entry,
408,,"Africa,Kisembo",19/04-2012,,,Kyambura,,Illegal entry,
409,,"Ewau,Wambi,Johnfisher,Bruno",19/04-2012,,,Katwe,,Possession wildlife specimen,
410,,"Odongo,Ochen",29/04-2012,,,Nyamugasani,,illegal entry,
411,,"Odongo, Ochen",29/04-2012,,,Nyamugasani,,illegal entry,
412,,"CAM,WT",29/04-2012,,,Nyamugasani,,illegal fishing,
413,,"CAM,WT",29/04-2012,,,Nyamugasani,,Illegal entry,
414,,"CAM,WT",29/04-2012,,,Nyamugasani,,Illegal entry,
415,,"Mahesi,Awongo",01/05-2012,,,Lions bay,,Illegal entry,
416,,"Mahesi,Awongo",01/05-2012,,,Lions bay,,Illegal entry,
417,,Okiria,26/04-2012,,,Kanyampara,,Illegal entry,
418,,"Jonas,Okiria",05/05-2012,,,Kanyampara,,Illegal entry,
419,,Ewau,19/04-2012,,,Katwe,,illegal entry,
420,,"Africa.George,Otto",19/04-2012,,,Katunguru junction,,illegal entry,
421,,"Africa,Byamugisha,Otto",19/04-2012,,,Katunguru junction,,illegal entry,
422,,"Fana,Thembo",10/04-2012,,,Nyamugasani,,Illegal entry,
423,,"Ewau,Kulu,George,Bwaluzira",29/07-2012,,,Kasenyi mbarara road,,Illegal entry,
424,,"Kulu,Ewau,George,Bwaluzira",29/05-2012,,,kasenyi mbarara raod,,Illegal entry,
425,,"Kulu,Ewau,George,Bwaluzira",29/05-2012,,,KASENYI MBARARA ROAD,,Illegal entry,
426,,"Kulu,George,Ewau",29/05-2012,,,Kasenyi mbarara road,,Illegal entry,
427,,"Hakiri,Patience",29/05-2012,,,Kahendero,,Illegal entry,
428,,"Hakiri,Patience",29/05-2012,,,Kahendero,,Illegal entry,
429,,"Hakiri,Patience",29/05-2012,,,Kahendero,,Illegal entry,
430,,"kiiza j,Tiondi",01/04-2012,,,Kidodo,,Illegal entry,
431,,"Kiiza j,Tiondi",01/04-2012,,,Kidodo,,Illegal entry,
432,,"Africa,Gerald,George",01/05-2012,,,Nyakatanda,,Illegal entry,
433,,"Africa ,Gerald,George",01/05-2012,,,Nyakatanda,,ILLEGAL ENTRY,
434,,"Africa,Gerald,George",01/05-2012,,,Nyakatanda,,Illegal entry,
435,,"Africa,Gerald,George",01/05-2012,,,Nyakatanda,,Illegal entry,
436,,"Africa.Gerald,George",01/05-2012,,,Nyakatanda,,Illegal entry,
437,,"Kabugo,Tiondi",15/05-2012,,,Nyamirangara,,illegal entry,
438,,"Kiiza,george,otim",22/03-2012,,,Kizira,,Illegal entry,
439,,"Africa,george,kiiza",22/05-2012,,,Kizira,,Illegal entry,
440,,"Otim,Fana,George",26/03-2012,,,Nyamugasani,,Negligently permitting domestic a nimals into a wildlife protect,
441,,"Muhindo Hussein,Janet",23/05-2012,,,Nyakahita,,Illegal entry,
442,,"Gerald,Hamidu,Amuriat",28/05-2012,,,Maramagambo,,Illegal entry,
443,,"Gerald,Hamidu",28/05-2012,,,Maramagambo,,Illegal entry,
444,,"Wambi Grace, Mujuni justus",28/12-2012,,,Kaborogoto,,illegal entry,
445,,Wambi grace & Mujuni Justus,28/12-2012,,,Kaborogoto,,Illegal entry,
446,,Thembo James & Bwambale Fana,28/05-2012,,,Nyamugasani,,,
447,,"Kiiza James, Hilary Petience",02/04-2012,,,Kidubale,,IllegaI entry into the PA,
448,,,02/04-2012,,,Kidubale,,Illegal entry into the PA,
449,,"Rom Charles, Kiiza James",24/05-2012,,,Lyemibusa,,Illigal entry,
450,,KULU Kirya & Byamugisha George,28/05-2012,,,Katojo,,Possession of soecimen of protected species,
451,,KULU Kirya & Byamugisha George,28/05-2012,,,Katojo,,Possession of soecimen of protected species,
452,,,28/05-2012,,,Katojo,,Possession of soecimen of protected species,
453,,Bwambale Fana & Okello,19/05-2012,,,kabirizi,,Illegal entry into the PA,
454,,Bwambale Fana & Okello,06/03-2012,,,Kyondo- Nyamugasani,,Illegal entry into the PA,
455,,Tumwesigye Robert,01/06-2012,,,Kanyangeya,,Illegal entry into the PA,
456,,Otim Richard & Katurebe Wilson,01/06-2012,,,Kamere & katunguru,,Illegal entry into the PA,
457,,Otim Richard & Katurebe Wilson,01/06-2012,,,Kamera & Katunguru,,Illegal entry into the PA,
458,,"Owenyo Alphonse,& Rusoke David",06/06-2012,,,Nyampimbi maramagambo forest,,Illegal entry into the PA,
459,,"Owenyo Alphonse,& Rusoke David",06/06-2012,,,Nyampimbi maramagambo forest,,Illegal entry into the PA,
460,,"Owenyo Alphonse,& Rusoke David & Akatuhwera Char",06/06-2012,,,Omurusoroza maramagambo forest,,Illegal entry into the PA,
461,,Twinobusingye Godfrey,14/06-2012,,,Kyasanduka maramagambo forest,,Illegal entry into the PA,
462,,Rom Charles & Akim Drate,18/06-2012,,,Rwamuhanda kasenyi,,Illegal entry into the PA,
463,,Rom Charles & Akim Drate,18/06-2012,,,Rwamuhanda kasenyi,,Illegal entry into the PA,
464,,Abitegeka Gerald & Rwamba Hamidu,06/10-2012,,,Rwesigiro bwambara s/c,,Possession of illegal specimen,
465,,Abitegeka Gerald & Rwamba Hamidu,06/10-2012,,,Rwesigiro bwambara s/c,,Possession of illegal specimen,
466,,Abitegeka Gerald & Rwamba Hamidu,06/10-2012,,,Rwesigiro bwambara s/c,,Possession of illegal specimen,
467,,Twine Everest,06/05-2012,,,Nyamusingiri,,Illegal entry into PA,
468,,Twine Everest,06/05-2012,,,Nyamusingiri,,Illegal entry into PA,
469,,"Thembo Mbakania,Lutaya Philly",07/01-2013,,,Mughete T C,,Possession of wildlife specimen,
470,,"Thembo Mbakania,Lutaya Philly",07/02-2013,,,Mughete T C,,Possession of wildlife species,
471,,"Thembo Mbakania,Lutaya Phily",07/01-2013,,,Mughete T C,,Possession of wildlife species,
472,,Kiiza james,07/01-2013,,,Mughete,,Illegal entry into a wildlife protected area,
473,,"Kiiza,Mujni",08/01-2013,,,Katakwe,,Ileegal entry into a wildlife protected area,
474,,"Wafana David,Basimaki Augustine",18/01-2013,,,Kyakitale,,Introduction of domestic animals into a wildlife protected area,
475,,"Muperu Moses,Ezatib Joseph",20/01-2013,,,Crators,,Introduction of domestic animals into a wildlife protected area,
476,,"Wafana David,Okello Alfred",28/01-2013,,,Kanyamiyimbo,,Negligently permitting domestic animals into a wildlife protecte,
477,,"Kiiza James,George Byamugisha",23/01-2013,,,Kazinga Road,,Ilegalentry into a wildlife protected area,
478,,"Kiiza James,George Byamugisha",23/01-2013,,,Kazinga Road,,Illegal entry into a wildlife protected area,
479,,"Kiiza James,George Byamugisha",23/01-2013,,,Kaziga Road,,Illegal entry into protected area,
480,,"Mugisha Hassan,Kule Boniface",10/02-2013,,,Kyondo,,IllegaL entry,
481,,"Mugisha Hassan,Kule Boniface",10/02-2013,,,Kyondo,,Illegal entry into a protecetd area,
482,,Otim Richard,14/02-2013,,,Kabirizi,,Illegal entry into a protected area,
483,,John Fisher,25/02-2013,,,Katunguru,,Possession of wildlife protected species,
484,,John Fisher,25/02-2013,,,Kazinga fishing village,,Possession of wildlife protected,
485,,Kavuma Enerst,02/03-2013,,,Kikorongo,,Illegal burning of wildlife protected area,
486,,"Biryamutima,Zirim",11/03-2013,,,Kalinzo,,Illegal entry into a wildlife protected area,
487,,"Biryahamitima, Zirim",11/03-2013,,,Kalinzo,,Illegal entry into awildlife protected area,
488,,"Biryahamitama,Zirim",11/03-2013,,,Kalinzo,,Illegal entry into a wildlife Protected  area,
489,,"Kavuma, Zirim",14/03-2013,,,L.George,,Illegal entry into aa wildlife protected area,
490,,Ali Bin Said,20/03-2013,,,Kabirizi,,Possession of wildlife specimen,
491,,Birungi Paul,19/03-2013,,,Nyabigaga,,Illegal possession of wildlife specimen,
492,,Burungi Paul,19/03-2013,,,Nyabigaga,,Possession of wildlife specimen,
493,,Kisnga Police officers,20/03-2013,,,Kamughobe,,Possession of wildlife specimen,
494,,Ali Bin Said,20/03-2013,,,Kabirizi,,Possession of wildlife protected specimen,
495,,Ali Bn Said,21/03-2013,,,Kiburara T C,,Possession of wildlife protected specimen,
496,,"Gerald,Benon,Patience",27/03-2013,,,Along kazinga channel,,Illegal entry into awildlife protected area,
497,,"Gerald,Benon,Patience",27/03-2013,,,Along kazinga channel,,Illegal entry into awildlife protected area,
498,,"Geral,Benon,Patience",27/03-2013,,,Along kazinga channel,,Illegal entry into awildlife protected area,
499,,"Gerald,Benon,Patience",27/03-2013,,,Along kazinga channel,,Illegal entry into awildlife protected area,
500,,"Gerald,Benon,Patience",27/03-2013,,,Along kazinga channal,,Illegal entry into a wildlife protected area,
501,,"Gerald,Benon,Patience",27/03-2013,,,Along kazinga channel,,Illegal entry into awildlife protected area,
502,,"Geral.Benon,Patience",27/03-2013,,,Along kazinga channel,,Illegal entry into a wildlife protected area,
503,,"Gerald,Benon,Patience",27/03-2013,,,A long kazinga channel,,Illegal entry into a wildlife protected area,
504,,"Gerald,Benon,Petience",27/03-2013,,,A long kazinga channel,,Illegal entry into awildlife protected area,
505,,"Wafana,Basimaki",31/03-2013,,,Kyakitale,,Negligently permitting domestic animals into awildlife protected,
506,,"Fana,Anguzu",28/03-2013,,,Ngoro,,Illegal entry into awildlife protected area,
507,,"Wafana,Basimaki",10/04-2013,,,Nyamugasani,,Negligently permitting domestic animals into awildlife protected,
508,,"Ewau,Obote",13/05-2013,,,Bwanika,,Illegal entry into a wildlife protected area,
509,,"Wafana,Basimaki",15/05-2013,,,Nyamugasani,,Negligently permitting domestic animals into awildlife protected,
510,,"Ewau,Gerge",21/05-2013,,,Nyamirangara,,Illegal entry into a wildlife proteced area,
511,,Kavuma Enest,21/05-2013,,,Kathole 1,,Illegal entry into awildlife protected area,
512,,Kavuma Enest,21/05-2013,,,Kathole,,Illegal entry into a wildlife protected area,
513,,Kisembo jimmy,21/05-2013,,,Nyamuhuru,,possession of wildlife protected species,
514,,Kisembo Jimmy,21/05-2013,,,Nyamuhuru,,Illegal entry into a wildlife proteced area,
515,,Kisebo Jimmy,21/05-2013,,,Nyamuhuru,,Illegal entry into awildlife protected area,
516,,"Ngene,Bwaluzira",22/05-2013,,,Kahendero,,Illegal entry into awildlife protected area,
517,,"Ngene,Bwaluzira",22/05-2013,,,Kahendero,,Illegal entry into awildlife protected area,
518,,"George,Kiiza,Mwanje",25/05-2013,,,Nyakatunga,,Possession of wildlife protected species,
519,,"Goerge,kiiza,mwanje",25/05-2013,,,kisita,,Possession of wildlife protected species,
520,,"Goerge,kiiza,mwanje",25/05-2013,,,Nyakatunga,,Possession of wildlife protected species,
521,,"Goerge,kiiza,Mwanje",25/05-2013,,,Nyakatunga,,Possession of wildlife protecetde species,
522,,"Goerge.kiiza,Mwanje",25/05-2013,,,Kafuro,,Possession of wildlife protected species,
523,,"Goerge,Kiiza,Mwanje",25/05-2013,,,kisita,,Possession ofwildlife protected species,
524,,"Obote,Goerge.kiiza",25/05-2013,,,Kafuro,,Illegal entry into awildlie protected area,
525,,"Goerge, kiiza,Obote",25/05-2013,,,kafuro,,Illegal entry into awildlife protected area,
526,,"George,Kiiza,Obote",25/05-2013,,,kafuro,,Illegal entyr into awildlife protected area,
527,,"George,kiiza,Obte",25/05-2013,,,Kafuro,,Illegal entry into awildlife protected area,
528,,"George,Kiiza,Obote",25/05-2013,,,Kafuro,,Illegal entry into awildlife protected species,
529,,"Biryamutima,zirim",23/05-2013,,,Nyaruzigati,,Illegal entrty into awildlife protected area,
530,,Twinobusingye godfrey,02/06-2013,,,along rubiriha river,,illegal  entry into a wildlife protcted area,
531,,Twinobusingye Godfrey,02/06-2013,,,along Rubiriha river,,,
532,,Gordon,08/06-2013,,,Muhokya,,negligently permitting domestic animals into a wildlife protecte,
533,,Biryamutima Cypiriano,08/06-2013,,,Lyamubuza,,illegal entry into a wildlife protected area,
534,,"Kiiza James,Namara Brendah",12/06-2013,,,Bwende rest camp,,illegal entry into a wildlife protected area,
535,,"Kiiza James,Namara Brendah",12/06-2013,,,Bwende rest camp,,illegal entry into a wildlife protected area,
536,,"Kiiza James, Namara Brendah",12/06-2013,,,Bwende rest camp,,illegal entry into a wildlife p[rotecetd area,
537,,"Twine Everest,Baingana Alex",10/06-2013,,,Busunga,,illegal entry into a wildlife protected area,
538,,Nuwagaba Gordon,15/06-2013,,,Muhokya,,Iillegal entry into a wildlife protected area,
539,,"Bob Benard,Amanyire Scholah",18/06-2013,,,Kathole,,illegal entry into a wildlife protected area,
540,,"Bob Benard,Amanyire Scholah",18/06-2013,,,Kathole,,illegal entry into a wildlife proteceted proteceted area,
541,,"Twinomujuni,Huseein",18/06-2013,,,Kasasiro-Kidodo,,illegal entry into awildlife protected area,
542,,kinene Tony,24/06-2013,,,buhindaji,,Illegal entry into a protected area.,
543,,kinene Tony,24/06-2013,,,buhindaji,,Illegal entry into a eildlife protected area.,
544,,koojo Emanuel,21/06-2013,,,kalinzu,,Illegal entry into a wildlife protected area,
545,,kinene Tony,21/06-2013,,,buhindaji,,Illegal entry,
546,,"Koojo, Wafana",14/07-2013,,,Nyamugasani,,Illegal entry into a wildlife protected area,
547,,"Machati,",16/07-2013,,,kidodo,,Illegal entry into a wildlife protected area,
548,,Machati,16/07-2013,,,Kidodo,,Illegal entry into a wildlife protected area,
549,,"Wfana,Koojo",14/07-2013,,,Nyamugasani,,Illegal entry into a wildlife protecte area,
550,,"Kyathumba,Mwanji",14/07-2013,,,Busunga,,Negligently permitting domestic animals into a wildlife protecte,
551,,"Machati,Kyathumba",14/07-2013,,,Railway,,Illegal entry into a wildlife protected area,
552,,"Machati, Kyathumba",14/07-2013,,,Rail way,,Illegal entry into a wildlife protected area,
553,,Twinomujuni francis,13/07-2013,,,l.George,,Illegal entry into a wildlife  protected area,
554,,"Machati, Kyathumba",14/07-2013,,,Kahendero,,I,
555,,Twinobusingye Godfrey,12/07-2013,,,Kitatura,,Illegal entry into a wildlife protected area,
556,,"Wafana, Koojo",14/07-2013,,,Nyamugasani,,Negligently permitting domestic animals into a wildlife protecte,
557,,Wafana,17/07-2013,,,Kyakitale,,Negligently permitting domestic animals into a wildlife protject,
558,,Mwanji Abubakar,20/07-2013,,,Katole,,Illegal entry into a wildlife protected area,
559,,Mwanji,20/07-2013,,,Katole,,Illegal entry into a wildlife protected area,
560,,Mwanje,20/07-2013,,,Katole,,Illegal entry into  a wildlife protected area,
561,,"Koojo,Sikuku",19/07-2013,,,Maramagambo,,Illegal entry into a wildlife protected area,
562,,"Koojo,Sikuku",19/07-2013,,,Maramagambo,,illegal entry into a wildlife protected area,
563,,"Koojo,Sikuku",19/07-2013,,,Maramagambo,,Illegal entry into a wildlife protected area,
564,,"Koojo, Sikuku",19/07-2013,,,Maramagambo,,Illegal entry into a wildife protected area,
565,,"Koojo,Sikuku",19/07-2013,,,Maramagambo,,Illegal entry into a wildlife protected arae,
566,,Gordon,22/07-2013,,,Omunkuka,,Illegal entry into a wildlife protected area,
567,,"Koojo,Danson",25/07-2012,,,maramagambo,,Illegal entry into a wildlife protected arae,
568,,"Koojo, Sikuku",24/07-2013,,,sherere,,Illegal entry into a wildlife protected area,
569,,"Mwanji,Munanda",29/07-2013,,,Busunga,,Illegal entry into a wildlife protected species,
570,,Kyathumba,29/07-2013,,,Kidodo,,Illegal entry into a wildlife protected area,
